Ticker 1,Ticker 2,Correlacion
MRK,LLY,0.375
TMO,ADBE,0.375
WFC,UPS,0.375
BRK-B,NKE,0.374
META,GS,0.373
MSFT,HD,0.373
GS,INTC,0.373
DIS,AMD,0.373
META,V,0.372
AAPL,WFC,0.372
BAC,CVX,0.372
CAT,DIS,0.371
BRK-B,COP,0.371
CAT,CSCO,0.371
GOOGL,NFLX,0.371
BRK-B,XOM,0.37
AMZN,BRK-B,0.37
TSLA,DIS,0.37
NVDA,V,0.37
TMO,DIS,0.369
DIS,CSCO,0.368
MMM,DIS,0.368
AMZN,WFC,0.367
ORCL,AMD,0.367
MSFT,TMO,0.366
AMZN,HON,0.366
GOOGL,TMO,0.366
JPM,TMO,0.366
MA,NFLX,0.365
MSFT,BRK-B,0.365
JPM,HD,0.365
BRK-B,PG,0.365
TMO,CRM,0.364
TMO,MRK,0.364
NKE,BA,0.363
HD,CAT,0.363
WMT,PG,0.363
V,AMD,0.362
COST,CRM,0.362
CSCO,ADBE,0.362
MA,CAT,0.362
HD,CRM,0.362
NVDA,BA,0.362
BRK-B,JNJ,0.361
MSFT,GE,0.361
COST,CSCO,0.361
AMZN,UPS,0.358
NVDA,COST,0.358
BRK-B,BA,0.358
WFC,HD,0.358
AAPL,INTC,0.357
MSFT,HON,0.357
KO,T,0.357
BAC,COP,0.356
NKE,MMM,0.356
WMT,HD,0.356
MA,TMUS,0.356
PG,VZ,0.356
BRK-B,PFE,0.355
NVDA,CAT,0.355
MA,KO,0.355
KO,TMUS,0.355
BRK-B,ADBE,0.354
UPS,CSCO,0.354
GOOGL,DIS,0.354
NKE,ADBE,0.354
NKE,CSCO,0.353
META,GE,0.353
BRK-B,PEP,0.353
NVDA,JPM,0.353
META,TSLA,0.353
GS,ADBE,0.352
GOOGL,NKE,0.352
AMZN,INTC,0.352
TMO,CSCO,0.351
HON,ADBE,0.351
GE,NFLX,0.35
ABBV,PG,0.35
TSLA,BAC,0.35
META,HON,0.35
GOOGL,COST,0.35
MSFT,JPM,0.349
BAC,CRM,0.349
GS,ORCL,0.348
TSLA,JPM,0.348
TSLA,WFC,0.348
ABBV,KO,0.348
BA,CAT,0.348
TSLA,NFLX,0.347
TSLA,BA,0.347
COST,TMUS,0.347
JPM,CVX,0.346
MSFT,NKE,0.345
WMT,KO,0.345
HD,PG,0.345
PG,HON,0.345
META,HD,0.345
GOOGL,GE,0.345
AAPL,CAT,0.345
CSCO,CRM,0.344
BAC,NKE,0.343
GOOGL,BRK-B,0.343
BRK-B,TMUS,0.343
TSLA,COST,0.342
MSFT,BAC,0.342
TMO,AMD,0.342
NKE,CAT,0.34
COST,AMD,0.34
META,COST,0.34
NKE,CRM,0.34
JPM,NKE,0.34
GS,CVX,0.339
TSLA,V,0.339
V,CAT,0.339
V,KO,0.339
HON,AMD,0.338
AAPL,MMM,0.337
GS,COP,0.337
GE,CSCO,0.337
V,NFLX,0.337
HD,KO,0.337
GOOGL,HON,0.337
GOOGL,JPM,0.337
BRK-B,T,0.337
JPM,AMD,0.336
V,TMUS,0.336
TSLA,ADBE,0.336
HON,INTC,0.335
HD,GE,0.335
META,NKE,0.335
GOOGL,BAC,0.335
JPM,CRM,0.335
MA,PG,0.334
JPM,COP,0.333
NVDA,TMO,0.332
BRK-B,CRM,0.331
AMZN,ORCL,0.331
KO,HON,0.331
MSFT,INTC,0.33
V,BA,0.33
MMM,CSCO,0.33
META,BAC,0.329
TSLA,MA,0.328
BAC,AMD,0.328
PEP,HON,0.328
PEP,COST,0.328
WFC,CRM,0.327
BA,INTC,0.327
PEP,VZ,0.326
ABBV,PEP,0.326
MSFT,UPS,0.326
TMO,GE,0.326
MRK,KO,0.325
MSFT,BA,0.325
WFC,TMO,0.325
V,PG,0.325
HD,PEP,0.325
CAT,INTC,0.324
COST,NFLX,0.324
CRM,ORCL,0.324
GOOGL,HD,0.323
WFC,CVX,0.323
META,CSCO,0.323
TSLA,GE,0.322
HON,CRM,0.322
GE,CRM,0.322
CSCO,ORCL,0.322
GOOGL,INTC,0.321
MSFT,WFC,0.321
GE,INTC,0.32
PFE,KO,0.32
WFC,AMD,0.32
META,JPM,0.319
ABBV,TMO,0.319
TMO,CAT,0.319
NVDA,BAC,0.318
COST,GE,0.318
HON,COP,0.318
PEP,TMUS,0.318
BAC,XOM,0.318
NKE,AMD,0.318
INTC,CSCO,0.317
GE,ORCL,0.317
WFC,COP,0.316
PG,TMUS,0.316
HD,BA,0.316
WMT,PEP,0.316
META,BA,0.314
PFE,PEP,0.314
AMZN,CAT,0.313
COST,NKE,0.313
BRK-B,WMT,0.313
META,WFC,0.312
GOOGL,ORCL,0.312
GS,COST,0.312
BA,CRM,0.312
NVDA,WFC,0.311
COST,BA,0.31
NKE,GE,0.31
GOOGL,WFC,0.31
PFE,MMM,0.309
PG,T,0.308
GOOGL,BA,0.308
NVDA,HD,0.308
BRK-B,ABBV,0.308
HD,AMD,0.307
PFE,HON,0.307
BA,MMM,0.307
BA,UPS,0.307
JPM,INTC,0.306
HON,CVX,0.306
META,TMO,0.306
JPM,ADBE,0.306
ADBE,ORCL,0.305
UPS,INTC,0.305
BA,NFLX,0.304
CVX,DIS,0.304
DIS,INTC,0.303
CAT,ORCL,0.303
TMO,INTC,0.303
NVDA,HON,0.303
UPS,ADBE,0.302
BRK-B,INTC,0.302
TSLA,INTC,0.301
UPS,AMD,0.301
TSLA,CAT,0.301
GE,ADBE,0.3
BRK-B,VZ,0.299
GOOGL,CAT,0.299
COP,DIS,0.299
JPM,COST,0.299
BAC,ADBE,0.298
TMO,PEP,0.298
TSLA,ORCL,0.298
UPS,CRM,0.297
META,BRK-B,0.296
NVDA,NKE,0.296
META,INTC,0.296
BA,CSCO,0.296
TMO,COST,0.294
BAC,INTC,0.294
JPM,XOM,0.294
PFE,UPS,0.293
WFC,NKE,0.293
JNJ,VZ,0.291
WMT,CSCO,0.289
AMZN,MMM,0.289
MA,INTC,0.288
BRK-B,MRK,0.287
GS,XOM,0.287
TSLA,CSCO,0.286
GS,NFLX,0.286
HD,TMUS,0.285
BAC,COST,0.284
MA,PEP,0.284
TSLA,HON,0.284
KO,CSCO,0.284
WMT,HON,0.284
TSLA,HD,0.284
TMO,PG,0.283
HON,XOM,0.283
INTC,CRM,0.283
TSLA,NKE,0.283
META,UPS,0.282
MSFT,CAT,0.282
MA,WMT,0.281
META,ORCL,0.281
ABBV,LLY,0.28
TSLA,TMO,0.28
COST,UPS,0.28
TSLA,BRK-B,0.28
BRK-B,NFLX,0.28
UPS,CVX,0.279
AAPL,ORCL,0.278
WFC,ADBE,0.278
WFC,INTC,0.278
KO,MMM,0.278
XOM,DIS,0.278
PFE,PG,0.277
GOOGL,UPS,0.277
MMM,ADBE,0.277
COST,DIS,0.277
PFE,HD,0.276
V,PEP,0.275
BRK-B,AMD,0.275
AAPL,WMT,0.275
COST,MMM,0.274
JNJ,TMO,0.274
V,PFE,0.274
PFE,LLY,0.274
NKE,NFLX,0.273
MA,T,0.273
AAPL,PEP,0.272
NKE,INTC,0.272
PG,NKE,0.272
PEP,T,0.272
MMM,INTC,0.272
UPS,GE,0.271
META,MMM,0.271
JNJ,LLY,0.271
AAPL,KO,0.271
NFLX,CSCO,0.27
TMO,KO,0.27
HD,INTC,0.27
TMO,LLY,0.27
MMM,AMD,0.27
BA,ADBE,0.269
MSFT,MMM,0.269
INTC,ADBE,0.269
JPM,NFLX,0.269
PEP,CSCO,0.268
NVDA,UPS,0.267
JNJ,HON,0.267
MA,PFE,0.265
HON,NFLX,0.264
WFC,XOM,0.264
TMO,BA,0.264
AAPL,TMUS,0.264
JPM,ORCL,0.264
GOOGL,MMM,0.263
TSLA,UPS,0.263
PFE,CSCO,0.263
CAT,CRM,0.262
PFE,VZ,0.261
NVDA,BRK-B,0.26
AAPL,PG,0.26
BAC,T,0.26
MMM,CRM,0.259
PG,UPS,0.258
BAC,NFLX,0.258
WMT,TMUS,0.258
CVX,CSCO,0.258
BRK-B,LLY,0.257
V,INTC,0.257
MA,ORCL,0.257
PG,MMM,0.256
JNJ,T,0.256
V,WMT,0.256
LLY,COST,0.255
MRK,HON,0.254
AAPL,CVX,0.253
KO,NKE,0.252
JNJ,HD,0.252
UPS,XOM,0.252
GE,CVX,0.251
GE,COP,0.251
TMO,CVX,0.25
V,ABBV,0.25
PEP,NKE,0.248
MMM,CVX,0.247
INTC,ORCL,0.246
BAC,ORCL,0.245
META,CAT,0.245
V,T,0.244
LLY,PG,0.243
UPS,COP,0.243
HD,NFLX,0.242
MA,LLY,0.242
WFC,COST,0.242
DIS,ORCL,0.242
MMM,COP,0.241
TMO,ORCL,0.24
KO,UPS,0.24
GS,PFE,0.24
BA,COP,0.239
NVDA,MMM,0.239
JNJ,TMUS,0.239
BAC,PFE,0.238
JPM,PFE,0.237
TMO,COP,0.237
PEP,UPS,0.237
V,LLY,0.235
COST,INTC,0.235
COP,CSCO,0.235
AAPL,COP,0.234
AMZN,WMT,0.234
BA,CVX,0.234
PG,CSCO,0.234
V,COP,0.234
NKE,CVX,0.233
HON,TMUS,0.233
NFLX,ORCL,0.233
TSLA,MMM,0.232
MA,ABBV,0.232
NFLX,INTC,0.232
BRK-B,UNH,0.231
PFE,NKE,0.231
WMT,NKE,0.231
AAPL,PFE,0.231
MA,COP,0.23
GE,TMUS,0.23
MRK,VZ,0.23
MA,CVX,0.23
V,JNJ,0.23
COST,CAT,0.229
WFC,NFLX,0.229
PEP,MMM,0.228
JNJ,WMT,0.228
HD,VZ,0.227
UNH,TMO,0.227
ABBV,MMM,0.226
JPM,T,0.225
HON,T,0.225
MA,XOM,0.225
V,MRK,0.225
LLY,HD,0.225
PFE,T,0.223
TMUS,CSCO,0.223
JNJ,MMM,0.223
WMT,UPS,0.223
HON,ORCL,0.222
NKE,COP,0.221
XOM,CSCO,0.221
WMT,MMM,0.22
TMUS,ADBE,0.22
V,ORCL,0.22
MSFT,TMUS,0.219
BAC,WMT,0.218
LLY,HON,0.217
V,UNH,0.217
GE,XOM,0.216
WFC,ORCL,0.216
MSFT,WMT,0.215
JPM,WMT,0.215
CAT,ADBE,0.215
ABBV,UPS,0.215
PFE,DIS,0.214
LLY,GE,0.214
V,XOM,0.213
ABBV,VZ,0.213
V,CVX,0.213
BA,ORCL,0.212
PFE,CVX,0.212
HON,VZ,0.212
T,DIS,0.211
WMT,DIS,0.211
JPM,KO,0.211
TMUS,DIS,0.211
MA,MRK,0.211
JPM,TMUS,0.211
MA,JNJ,0.211
MA,VZ,0.21
MMM,ORCL,0.21
AAPL,XOM,0.21
BAC,VZ,0.21
ABBV,HD,0.209
BAC,TMUS,0.209
PFE,CAT,0.209
TMO,XOM,0.208
GS,WMT,0.208
JPM,ABBV,0.208
HD,T,0.207
JNJ,COST,0.207
ABBV,WMT,0.206
MMM,NFLX,0.206
BAC,KO,0.205
WMT,GE,0.204
MRK,NKE,0.203
UNH,MRK,0.203
HD,CVX,0.203
ABBV,T,0.202
BA,XOM,0.202
WMT,BA,0.202
MMM,XOM,0.201
TMUS,CRM,0.201
NKE,XOM,0.201
JNJ,UNH,0.201
WFC,PFE,0.201
NKE,ORCL,0.201
WFC,T,0.201
AAPL,LLY,0.2
COST,ORCL,0.2
HD,ORCL,0.199
UPS,VZ,0.199
UNH,TMUS,0.198
CVX,INTC,0.198
UNH,PG,0.197
JNJ,UPS,0.197
GS,TMUS,0.196
TMO,NFLX,0.196
MA,UNH,0.196
WFC,TMUS,0.195
XOM,VZ,0.195
CVX,VZ,0.194
PFE,COP,0.193
V,VZ,0.193
MRK,UPS,0.191
COP,CRM,0.191
AMZN,CVX,0.19
ABBV,CSCO,0.189
LLY,WMT,0.189
UPS,NFLX,0.189
WMT,T,0.188
T,CSCO,0.188
ABBV,TMUS,0.188
MMM,T,0.188
UNH,PFE,0.187
BRK-B,ORCL,0.186
JPM,JNJ,0.186
BAC,ABBV,0.186
UPS,TMUS,0.186
MRK,T,0.185
LLY,KO,0.184
TSLA,WMT,0.184
KO,DIS,0.184
BA,TMUS,0.184
AMZN,TMUS,0.184
GOOGL,WMT,0.184
PFE,TMUS,0.184
MSFT,LLY,0.184
COP,INTC,0.183
TMUS,NFLX,0.183
MRK,MMM,0.183
PFE,XOM,0.183
LLY,CRM,0.183
CAT,NFLX,0.183
LLY,NKE,0.182
MMM,TMUS,0.182
PFE,INTC,0.181
NVDA,LLY,0.181
AMZN,COP,0.18
UNH,HON,0.18
LLY,ADBE,0.18
JNJ,CSCO,0.178
ABBV,COST,0.177
PFE,BA,0.177
WFC,WMT,0.177
XOM,T,0.177
UNH,PEP,0.177
UNH,KO,0.176
PEP,DIS,0.176
UNH,COST,0.176
CVX,T,0.176
JPM,LLY,0.175
GS,ABBV,0.175
UPS,ORCL,0.175
GS,T,0.174
HD,XOM,0.174
TMO,WMT,0.174
BAC,PG,0.174
JPM,PG,0.173
META,LLY,0.173
WFC,ABBV,0.173
CVX,AMD,0.172
WMT,VZ,0.172
NKE,TMUS,0.172
AAPL,MRK,0.171
COP,AMD,0.171
VZ,DIS,0.171
ABBV,HON,0.17
UNH,HD,0.17
MRK,TMUS,0.17
MRK,COP,0.169
CVX,CRM,0.168
UNH,ABBV,0.168
TMO,VZ,0.168
PG,DIS,0.168
MRK,HD,0.167
KO,ADBE,0.167
WMT,ADBE,0.167
JPM,VZ,0.166
KO,GE,0.166
PG,ADBE,0.166
MSFT,PFE,0.165
MMM,VZ,0.165
ABBV,COP,0.164
LLY,PEP,0.164
META,WMT,0.164
JPM,UNH,0.164
KO,XOM,0.164
AAPL,T,0.164
PFE,COST,0.163
WMT,CAT,0.163
PEP,ADBE,0.162
ABBV,XOM,0.162
HD,COP,0.162
PFE,ADBE,0.162
VZ,CSCO,0.162
LLY,UPS,0.162
BAC,PEP,0.162
ABBV,CAT,0.162
AAPL,VZ,0.162
MRK,CVX,0.161
AMZN,LLY,0.161
JPM,PEP,0.16
BAC,JNJ,0.16
GE,T,0.16
LLY,ORCL,0.16
WMT,NFLX,0.158
MRK,WMT,0.158
LLY,DIS,0.157
CVX,TMUS,0.157
MSFT,PG,0.157
XOM,TMUS,0.157
ABBV,CVX,0.156
PEP,XOM,0.156
UPS,T,0.156
XOM,INTC,0.156
GS,LLY,0.156
GOOGL,TMUS,0.156
GOOGL,LLY,0.154
MRK,XOM,0.154
TMUS,INTC,0.154
GOOGL,CVX,0.154
JPM,MRK,0.153
ABBV,GE,0.153
NVDA,COP,0.152
TSLA,CVX,0.151
BAC,UNH,0.151
MSFT,KO,0.151
WFC,KO,0.15
TSLA,COP,0.149
AAPL,JNJ,0.149
NVDA,CVX,0.149
LLY,CSCO,0.148
CVX,ADBE,0.147
GE,VZ,0.147
TMO,TMUS,0.146
COP,ORCL,0.146
COP,ADBE,0.145
COST,CVX,0.145
UNH,CRM,0.145
AAPL,ABBV,0.144
KO,CVX,0.144
WMT,CRM,0.144
WFC,UNH,0.143
GOOGL,COP,0.143
LLY,TMUS,0.143
COP,T,0.142
KO,BA,0.141
GS,JNJ,0.14
MSFT,CVX,0.139
MRK,CSCO,0.139
PFE,WMT,0.139
ABBV,INTC,0.139
AMZN,PFE,0.139
MRK,COST,0.139
UNH,MMM,0.139
BAC,MRK,0.138
JNJ,CVX,0.138
GS,UNH,0.138
UNH,VZ,0.138
LLY,CAT,0.138
PEP,CVX,0.137
COST,T,0.137
WFC,JNJ,0.137
ABBV,NKE,0.137
UNH,UPS,0.136
NKE,VZ,0.135
COP,VZ,0.135
WMT,CVX,0.135
MSFT,PEP,0.135
GOOGL,PFE,0.135
LLY,NFLX,0.135
GS,KO,0.135
WFC,VZ,0.134
UNH,T,0.134
UNH,WMT,0.134
JNJ,NKE,0.134
PEP,INTC,0.134
MSFT,COP,0.134
PFE,GE,0.132
TMO,T,0.132
UNH,ADBE,0.132
LLY,MMM,0.132
JNJ,XOM,0.131
MRK,CAT,0.131
CVX,ORCL,0.131
NVDA,TMUS,0.13
COP,TMUS,0.13
LLY,AMD,0.13
LLY,INTC,0.129
LLY,BA,0.129
WMT,AMD,0.129
XOM,AMD,0.128
GS,MRK,0.128
WFC,PG,0.128
PFE,CRM,0.128
T,NFLX,0.127
PG,GE,0.127
WMT,INTC,0.126
CAT,VZ,0.126
TMUS,AMD,0.126
WMT,COP,0.126
META,CVX,0.125
ABBV,DIS,0.124
GS,PEP,0.123
WMT,XOM,0.123
MRK,GE,0.123
XOM,CRM,0.123
COST,VZ,0.123
META,PFE,0.121
COP,NFLX,0.121
CVX,NFLX,0.12
COST,XOM,0.12
AMZN,XOM,0.12
BAC,LLY,0.118
NKE,T,0.118
ABBV,ADBE,0.114
BA,T,0.113
PEP,CAT,0.112
PEP,COP,0.112
KO,COP,0.112
PEP,CRM,0.112
COST,COP,0.112
PG,INTC,0.112
TSLA,LLY,0.112
MSFT,UNH,0.111
GOOGL,KO,0.111
NVDA,WMT,0.111
WFC,LLY,0.111
PFE,ORCL,0.111
PG,BA,0.111
KO,CRM,0.109
META,COP,0.109
WFC,PEP,0.108
JNJ,DIS,0.108
UNH,CVX,0.108
UNH,LLY,0.108
GS,VZ,0.108
CAT,T,0.108
CAT,TMUS,0.108
GOOGL,PG,0.107
AAPL,UNH,0.107
TSLA,TMUS,0.106
ABBV,BA,0.106
META,TMUS,0.105
XOM,NFLX,0.105
UNH,BA,0.104
KO,INTC,0.104
WMT,ORCL,0.103
WFC,MRK,0.103
UNH,CSCO,0.102
XOM,ADBE,0.102
JNJ,CAT,0.102
JNJ,COP,0.101
UNH,COP,0.101
T,CRM,0.1
GS,PG,0.1
PG,CRM,0.099
PEP,BA,0.099
MRK,DIS,0.099
GOOGL,PEP,0.098
GOOGL,UNH,0.098
KO,NFLX,0.098
TSLA,XOM,0.096
LLY,COP,0.096
AMZN,KO,0.095
META,PG,0.094
LLY,VZ,0.094
UNH,GE,0.093
PFE,NFLX,0.091
UNH,DIS,0.091
MRK,INTC,0.09
T,INTC,0.09
TSLA,UNH,0.09
PG,NFLX,0.09
TSLA,PFE,0.089
UNH,ORCL,0.088
AMZN,PG,0.087
T,ADBE,0.086
UNH,CAT,0.086
PG,XOM,0.086
UNH,XOM,0.086
KO,CAT,0.086
GOOGL,XOM,0.085
PEP,GE,0.085
ABBV,CRM,0.083
META,T,0.083
UNH,AMD,0.083
MSFT,ABBV,0.083
PFE,AMD,0.083
AMZN,T,0.083
AMZN,PEP,0.082
VZ,INTC,0.082
UNH,INTC,0.082
NVDA,XOM,0.081
JNJ,INTC,0.08
MRK,BA,0.077
GOOGL,MRK,0.076
AMZN,UNH,0.076
LLY,T,0.075
TMUS,ORCL,0.074
JNJ,BA,0.073
BA,VZ,0.073
MSFT,XOM,0.072
LLY,XOM,0.071
LLY,CVX,0.071
META,XOM,0.07
XOM,ORCL,0.07
UNH,NKE,0.068
TSLA,PEP,0.068
ABBV,ORCL,0.067
META,MRK,0.066
GOOGL,VZ,0.063
PEP,NFLX,0.06
JNJ,GE,0.056
PEP,ORCL,0.054
PG,CVX,0.054
AMZN,MRK,0.053
META,PEP,0.053
AMZN,VZ,0.052
GOOGL,JNJ,0.052
JNJ,ADBE,0.052
NVDA,PFE,0.052
NVDA,UNH,0.052
PG,CAT,0.051
VZ,NFLX,0.051
VZ,ADBE,0.05
GOOGL,ABBV,0.049
META,VZ,0.049
AMZN,ABBV,0.047
UNH,NFLX,0.047
MRK,CRM,0.047
VZ,CRM,0.046
META,KO,0.045
MSFT,VZ,0.045
TSLA,PG,0.045
MSFT,MRK,0.045
PG,COP,0.045
GOOGL,T,0.044
ABBV,NFLX,0.044
ABBV,AMD,0.042
MSFT,JNJ,0.039
MRK,ADBE,0.038
META,ABBV,0.035
PEP,AMD,0.034
TSLA,KO,0.034
KO,AMD,0.032
MSFT,T,0.027
PG,AMD,0.026
META,UNH,0.023
JNJ,CRM,0.023
MRK,NFLX,0.023
NVDA,ABBV,0.019
MRK,ORCL,0.019
PG,ORCL,0.017
T,ORCL,0.013
TSLA,MRK,0.012
TSLA,ABBV,0.01
KO,ORCL,0.01
JNJ,NFLX,0.01
TSLA,T,0.009
AMZN,JNJ,-0.0
NVDA,KO,-0.002
NVDA,PG,-0.002
TSLA,VZ,-0.003
NVDA,PEP,-0.003
T,AMD,-0.003
MRK,AMD,-0.004
VZ,ORCL,-0.008
META,JNJ,-0.01
TSLA,JNJ,-0.014
NVDA,MRK,-0.019
NVDA,T,-0.025
JNJ,ORCL,-0.025
JNJ,AMD,-0.025
VZ,AMD,-0.042
NVDA,VZ,-0.052
NVDA,JNJ,-0.109
