,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,JPM,V,MA,BAC,WFC,GS,JNJ,UNH,PFE,ABBV,TMO,MRK,LLY,WMT,HD,PG,KO,PEP,COST,NKE,BA,CAT,HON,UPS,GE,MMM,XOM,CVX,COP,VZ,T,TMUS,DIS,NFLX,INTC,CSCO,ADBE,CRM,ORCL,AMD
MA,0.5526873313050652,0.495096053134609,0.4298148114218551,0.46763873380787113,0.4024322279460539,0.42953766796534004,0.32766893816161696,0.5791711561913941,0.5209125193469205,0.8857587873376965,1.0,0.48714899281338614,0.4675923137168785,0.5149087212226741,0.21149443073932825,0.19592993185887586,0.2654142054163666,0.23220146830934707,0.44129336152516574,0.21064258364331348,0.24246703530648342,0.28057283025023727,0.4708914942653047,0.3342566056412782,0.3547814230471589,0.28401405918162076,0.4376419177237405,0.46107872514737325,0.3793236347518225,0.36179264963827407,0.5100585632538606,0.4043230997730226,0.4602069890751905,0.3910078930488223,0.22459316164592377,0.22954228386696476,0.22955371434113847,0.21013475223712882,0.2729201504775564,0.3563866128278493,0.4908252631384789,0.36523994717557406,0.2877745335579732,0.43106322241189965,0.5019577408276504,0.4626067719533918,0.256501770938771,0.38611157816187164
BAC,0.41065703238057305,0.34219695787724863,0.33535981271608883,0.39633239689770194,0.3183255237804272,0.32884470055493376,0.3499695073310457,0.5809437476144186,0.7989912231174224,0.477739243383937,0.48714899281338614,1.0,0.836399258191555,0.7470480419641194,0.16003948538493074,0.15145264334182812,0.23833626893900287,0.18573733546564636,0.3765963522800125,0.13838921427285708,0.11757128237647486,0.21825815770400858,0.409923193480617,0.1739454469392133,0.20505511716502045,0.1618136659671047,0.28355458522786403,0.3427223103713995,0.4076629370672683,0.5070121197862758,0.4700114096214214,0.4265763706455661,0.4490383895739706,0.43978769396063466,0.3183497212260313,0.3720561590241673,0.3561969691435543,0.2096855842888014,0.2603019444550428,0.20900025604882178,0.49159772716548944,0.257778161558888,0.2935736945474111,0.4253146658181299,0.29762034936286663,0.34912135184167525,0.2445419009854761,0.32831036435101935
WFC,0.3723806018463051,0.32112760444833804,0.31011446284244887,0.36709747641762697,0.31108933594577304,0.31169320092795505,0.3475001415189934,0.5539915289769053,0.7585133424371783,0.46276483826641907,0.4675923137168785,0.836399258191555,1.0,0.7186411917181127,0.13729068134347322,0.1429923662607151,0.20112129349906455,0.1725593319948808,0.3246277557636266,0.10334899018754606,0.11061842539709278,0.17722242077760267,0.3584256247872699,0.12808032290084068,0.14998257228460815,0.1084581244994356,0.24205755370566562,0.29311989664766813,0.3985831005561541,0.48682364367337755,0.4380744469153623,0.37495670490700433,0.4370026193681715,0.4112488289418927,0.2639531522489243,0.3228407073951578,0.31628609816958864,0.13445917433515567,0.2006467910005155,0.19535539551559267,0.42807029001852986,0.22941660690490576,0.2781753473079181,0.3925936723917446,0.27754657478282124,0.326886593538934,0.21639548341871137,0.32021023389885994
GS,0.4485082872663216,0.41345694529345306,0.3937309079492335,0.44629668489426866,0.42463110843218943,0.3733761140179261,0.3874545489356775,0.5264244457012509,0.7604049207850591,0.49007477752817086,0.5149087212226741,0.7470480419641194,0.7186411917181127,1.0,0.13976939351183806,0.1382427365712253,0.24027054362192252,0.17484706013518425,0.41244131304818565,0.12765252067240535,0.15622537395720154,0.20824238703264664,0.43909988080306445,0.10013120537255228,0.1351818272275727,0.1226993542212204,0.3119882883209707,0.3756533782163621,0.42949700550532727,0.5740227636388737,0.4851505801698167,0.42111157251271897,0.5072580035498905,0.45936844576803215,0.2872204668372109,0.33909466914731945,0.3373648448637086,0.10761173133274629,0.17380175715763824,0.19593821832654593,0.49036451839736145,0.2856165946862028,0.373209648219762,0.4447273347412025,0.3523118913642549,0.4011937526227439,0.3477402013341055,0.4291877242012541
JNJ,0.14878693537599474,0.03865426191197155,0.05239939367492795,-0.000324894967581256,-0.10949494366009509,-0.01018696723283618,-0.014302286920905806,0.36062830015619135,0.1863151694592641,0.22972711448179473,0.21149443073932825,0.16003948538493074,0.13729068134347322,0.13976939351183806,1.0,0.20077220834744453,0.45242544286917374,0.42965381149575627,0.2736893934888876,0.44412247461426496,0.2712769205022176,0.22774867879077754,0.25215745904068687,0.43177779777411607,0.4472033378293314,0.44423652290502086,0.20726768455432693,0.13448284596457227,0.07292849006690151,0.10176810961235068,0.2669373439728676,0.19650445404354605,0.056296221297093274,0.22262758581182543,0.13081857791207208,0.1377547902295318,0.10091037124636601,0.29103165501349154,0.2564228021250682,0.23924429290971277,0.10754305994487187,0.010225868170329121,0.07953989635778731,0.17795344846882621,0.05193912079460776,0.02333533368729639,-0.02460359328481783,-0.025087906900651238
UNH,0.10714030444744493,0.11122133093826211,0.09829488930664262,0.07606526479682195,0.05248197163052376,0.023065444154107398,0.08968985335084763,0.23140610172624318,0.16441546547883898,0.21733361642843796,0.19592993185887586,0.15145264334182812,0.1429923662607151,0.1382427365712253,0.20077220834744453,1.0,0.18731624254595172,0.16822044773889724,0.22688761301956029,0.2032712307290306,0.1080478995516814,0.13388428033098945,0.17000185549016364,0.19658332224556868,0.17624568602327537,0.17680778786125256,0.1763841805049029,0.06796750074741677,0.10410893828009717,0.08643202973350178,0.1804927438305773,0.136154587766842,0.09338820657493829,0.1392513402758286,0.08553264993581028,0.10792839374147331,0.1011744156236924,0.13791727861828598,0.1336455021079377,0.19753754144227734,0.09052366309539217,0.046747800768817974,0.08204133392243597,0.10242129128718964,0.1321657123731584,0.14462253806377812,0.08812126108506142,0.08311057351602914
PFE,0.23126729319803896,0.16468412279344102,0.13538912365573166,0.1385431683957072,0.05237435435433639,0.12127095160144226,0.08896042865972367,0.3554694305728022,0.23651196628423102,0.27385434265423475,0.2654142054163666,0.23833626893900287,0.20112129349906455,0.24027054362192252,0.45242544286917374,0.18731624254595172,1.0,0.4155530706825204,0.43889390608946405,0.4536547338313115,0.2740181739367111,0.13876922973960615,0.2762872774940828,0.2766027519454645,0.32041467344692043,0.31350943494337,0.1629137277941246,0.23097738561532055,0.1765691223349431,0.20887309865708906,0.30678435800799536,0.292613635692944,0.1318109550391956,0.3094288257479595,0.18291013294828518,0.211549334074828,0.1932387339051831,0.2611485239396426,0.2233278181835095,0.18410936341510223,0.2141222604758695,0.09096937588742691,0.18124669308875818,0.2625953480932939,0.1618053947498066,0.1279231303487273,0.1107856299714866,0.08262469478101796
ABBV,0.14401397589540244,0.08274635469375767,0.04893595801710741,0.04650763993862975,0.01937037447077687,0.035386072409408165,0.010314316890669051,0.3079460888125839,0.20828391353710748,0.25048559504662443,0.23220146830934707,0.18573733546564636,0.1725593319948808,0.17484706013518425,0.42965381149575627,0.16822044773889724,0.4155530706825204,1.0,0.3185170778617109,0.4156728545699272,0.2800407166239918,0.2059629358124405,0.20913799222770807,0.3496573178277185,0.3484926180070732,0.3261267114177574,0.17708105996239815,0.1367895863692091,0.10644347610038114,0.16216720473725688,0.170292453483154,0.21516758037618344,0.15282803519982294,0.22595116229526038,0.162278064184901,0.1563977012753006,0.1636112360426366,0.21316898315290259,0.20160819730645474,0.18800705964262293,0.12408985917801846,0.04399896649914595,0.13924089739537168,0.18936336479754326,0.11350845772668945,0.0826838159309507,0.06671516413509589,0.04162534447297513
TMO,0.41045405126233536,0.36563757337777275,0.3658739727451524,0.3773995598574653,0.331748624397783,0.3055493763052873,0.2804475314591238,0.4045403355418972,0.36624366751450316,0.4267166063547787,0.44129336152516574,0.3765963522800125,0.3246277557636266,0.41244131304818565,0.2736893934888876,0.22688761301956029,0.43889390608946405,0.3185170778617109,1.0,0.3640005955169976,0.26970600287435037,0.17432461539370003,0.4248387823903538,0.2831318575641832,0.2700430472494281,0.29778873031539527,0.29372684243679736,0.38106004764421303,0.2641736477646328,0.31850729149733215,0.40391855222622103,0.38854790687693147,0.32582402187125625,0.3803448924349565,0.20767450828283918,0.25011910143892707,0.23654258923659108,0.1684337554856855,0.132457812603383,0.14621685998883743,0.3692004517920231,0.19646036921112217,0.30251540205473726,0.3508080278731147,0.3753178408860704,0.36352908324546257,0.24028577206982984,0.34233968751249727
MRK,0.1711593030158951,0.04497310937385781,0.07552610686301149,0.05328357854425032,-0.01925620676044515,0.06605015472488114,0.012256844875507995,0.2867185616526711,0.1528934339300039,0.2253133115480345,0.21064258364331348,0.13838921427285708,0.10334899018754606,0.12765252067240535,0.44412247461426496,0.2032712307290306,0.4536547338313115,0.4156728545699272,0.3640005955169976,1.0,0.37516933036717404,0.15810202203286192,0.16657753825771823,0.3880224219501179,0.3252446645800626,0.38623776609325805,0.13871409881556374,0.20272960967229287,0.07684313852124489,0.13127662599781711,0.2542476139511458,0.1912027058797283,0.12251776184532663,0.18265553377360463,0.15412470417128069,0.16084622553058248,0.16926226978783135,0.22950579718239958,0.18546221681976802,0.17004558171782375,0.09860657540623433,0.022949725523948823,0.09035045271416527,0.13857862439378207,0.0384858221323012,0.04715591704448791,0.018904760310504136,-0.004140240045063086
LLY,0.20016385729930067,0.18402782449401553,0.15426312361824313,0.1614769960942503,0.18123795592935826,0.17318472416473119,0.11174813303620348,0.2574619664459145,0.17485722217414199,0.23545101451880254,0.24246703530648342,0.11757128237647486,0.11061842539709278,0.15622537395720154,0.2712769205022176,0.1080478995516814,0.2740181739367111,0.2800407166239918,0.26970600287435037,0.37516933036717404,1.0,0.18933355924184875,0.22546325651037286,0.2434431914820486,0.1835898136400949,0.1640042996202527,0.25497928278603976,0.18166487193767503,0.1287633636169498,0.13786376731513786,0.21675488056129252,0.16165028739696674,0.21400752310573246,0.1318912461943859,0.07129194541975682,0.07098741403865157,0.09609340480357192,0.09393522491967822,0.07469854559939265,0.14291689673937366,0.15724480322924803,0.13491460354170556,0.12862399188672322,0.14767319805315926,0.18030602540313634,0.18341920817347723,0.15978524730876262,0.13014536597864707
WMT,0.27529937085734274,0.2154319723846404,0.18390344833389224,0.23374429323717338,0.11101674591982219,0.16381920015742973,0.1836795315506122,0.3127119482923421,0.21543471072417983,0.2559745640010956,0.28057283025023727,0.21825815770400858,0.17722242077760267,0.20824238703264664,0.22774867879077754,0.13388428033098945,0.13876922973960615,0.2059629358124405,0.17432461539370003,0.15810202203286192,0.18933355924184875,1.0,0.3557145324725626,0.3633541688378245,0.34474251072649365,0.3157537652330551,0.566259209095528,0.2309196783768503,0.20177070935002894,0.16255369961029456,0.2841027899128897,0.22295288305010566,0.2043614064471809,0.2202007185085133,0.12297636778566437,0.135284345821683,0.12625214822447497,0.1715714470024161,0.18780980953518875,0.2578984491684075,0.21070250947904887,0.15834298983937856,0.12563809773720597,0.28873384664656354,0.1673946229294583,0.14404286102401348,0.10332153648819406,0.12927809929622658
HD,0.4386083588721885,0.37258553968173025,0.32254073852745313,0.4211697452358641,0.3078586054059444,0.34473468507229577,0.2840523116944744,0.4510610288988843,0.3653086437651752,0.4308026797355905,0.4708914942653047,0.409923193480617,0.3584256247872699,0.43909988080306445,0.25215745904068687,0.17000185549016364,0.2762872774940828,0.20913799222770807,0.4248387823903538,0.16657753825771823,0.22546325651037286,0.3557145324725626,1.0,0.34464631108922467,0.3367153194853598,0.32472310982412284,0.4881827562670984,0.470642942612805,0.3163833859792422,0.3629625735619101,0.4658224535019924,0.4765900685327974,0.33473775857430627,0.4308906445460562,0.17366242859068426,0.20339872203136028,0.16163296029484545,0.2266398738156137,0.20736037696659362,0.2850093259636573,0.41657460543390074,0.24248738495462951,0.2704041903785282,0.381997419809893,0.41129870372427363,0.36208276898574787,0.19858399406933422,0.3070228992534113
PG,0.25984138063426354,0.15689362739974863,0.10682893896643804,0.08673454990177495,-0.00198403827313404,0.09396632855260197,0.04461620162979585,0.36468185398995395,0.17344718759915848,0.3246715312567056,0.3342566056412782,0.1739454469392133,0.12808032290084068,0.10013120537255228,0.43177779777411607,0.19658332224556868,0.2766027519454645,0.3496573178277185,0.2831318575641832,0.3880224219501179,0.2434431914820486,0.3633541688378245,0.34464631108922467,1.0,0.6408296573923642,0.5997567247383079,0.38222791935337985,0.2718645200051073,0.11127786227042268,0.051301464701051604,0.34529105646062414,0.2578684669664248,0.12659414788093767,0.25555908630437607,0.08641109792188817,0.05389214975514538,0.044945168424145934,0.3555890009972521,0.3077545653523339,0.31634143130563325,0.1680473763325017,0.09047650575429796,0.11229695275696064,0.2337711642303777,0.16559463689573323,0.09943885132392029,0.01678976820775084,0.02648631395461942
KO,0.2714931651474515,0.15090449283125784,0.11101919546691495,0.09526788083871851,-0.0020219463881335346,0.04507544286965666,0.03376287606729391,0.4285646735868153,0.2108095912211302,0.3394280206183152,0.3547814230471589,0.20505511716502045,0.14998257228460815,0.1351818272275727,0.4472033378293314,0.17624568602327537,0.32041467344692043,0.3484926180070732,0.2700430472494281,0.3252446645800626,0.1835898136400949,0.34474251072649365,0.3367153194853598,0.6408296573923642,1.0,0.6876978232588775,0.3795642780181531,0.25217158730379197,0.1411314954499335,0.08602292403531443,0.33139616024819807,0.24026505927025554,0.16643730662050962,0.2778988913331504,0.1642887953592125,0.14417510306015716,0.11203386080110606,0.37828336101859494,0.35743464736707786,0.35515818438668995,0.1835233536089005,0.09796031832542854,0.10415157680587019,0.2837266966099114,0.16705587595167748,0.10901320488107773,0.010188761552438188,0.032212441521016745
PEP,0.2720310407053694,0.13466862915537445,0.09779419010694433,0.08151774112322174,-0.0029384625503101115,0.052639896202093674,0.06780271558364809,0.3527738327087213,0.16046576580681307,0.27469837916661344,0.28401405918162076,0.1618136659671047,0.1084581244994356,0.1226993542212204,0.44423652290502086,0.17680778786125256,0.31350943494337,0.3261267114177574,0.29778873031539527,0.38623776609325805,0.1640042996202527,0.3157537652330551,0.32472310982412284,0.5997567247383079,0.6876978232588775,1.0,0.3283490019321125,0.24782666140538898,0.099105468680687,0.11225646708069151,0.32796342662562394,0.2372373944386369,0.08522210419247397,0.22779461259343242,0.1562909310379181,0.13742851819322335,0.11174298745638377,0.3259997019856278,0.27203324047608424,0.31830752448250904,0.17624319248651776,0.060488121086507134,0.13385782476357974,0.26831101433893656,0.16154596827518086,0.1116522429086593,0.05418748108362617,0.033909373185799806
COST,0.449046754473585,0.4283050042099933,0.3500262035549826,0.4233560910348792,0.3576269151647052,0.3401769622653799,0.34152964823265913,0.3904249405299777,0.2991853433566022,0.42084215686572995,0.4376419177237405,0.28355458522786403,0.24205755370566562,0.3119882883209707,0.20726768455432693,0.1763841805049029,0.1629137277941246,0.17708105996239815,0.29372684243679736,0.13871409881556374,0.25497928278603976,0.566259209095528,0.4881827562670984,0.38222791935337985,0.3795642780181531,0.3283490019321125,1.0,0.31274496587845313,0.31001091485455495,0.228963965237332,0.3936985361088147,0.27970650947480613,0.3176516386625367,0.27397117858062214,0.1199619708539009,0.14545409275381524,0.11186244558747462,0.12269431323674339,0.1365527965586794,0.3465239844548017,0.2768372390176053,0.3237209721327461,0.234649995864715,0.36062128218657663,0.39626767697452564,0.3620027465800296,0.2000900293241092,0.33980235390033203
NKE,0.4629356385652002,0.3446833170487229,0.3521044594673116,0.4169796173490246,0.29568587544073865,0.33457323121759036,0.2833707368905228,0.37416231362591756,0.34000578801537146,0.42618999875765634,0.46107872514737325,0.3427223103713995,0.29311989664766813,0.3756533782163621,0.13448284596457227,0.06796750074741677,0.23097738561532055,0.1367895863692091,0.38106004764421303,0.20272960967229287,0.18166487193767503,0.2309196783768503,0.470642942612805,0.2718645200051073,0.25217158730379197,0.24782666140538898,0.31274496587845313,1.0,0.3629846707405651,0.33981469062491027,0.4382975473474323,0.4054541704262243,0.3102745710169406,0.35615030566034184,0.20070113066250778,0.23332664516796794,0.2214024559965418,0.13545022615411456,0.11776203410178734,0.17216968907556873,0.4557788375598713,0.2730410950312192,0.2723194584465738,0.3534067268283249,0.3542792491360563,0.3401784756302329,0.20140907175156747,0.3183638300362577
BA,0.39130128845297574,0.32518795612904816,0.3079531431814728,0.38064699025532794,0.36173676047665937,0.31412258157470707,0.3468306714720962,0.35757773377762053,0.3917244384297992,0.3295344618609734,0.3793236347518225,0.4076629370672683,0.3985831005561541,0.42949700550532727,0.07292849006690151,0.10410893828009717,0.1765691223349431,0.10644347610038114,0.2641736477646328,0.07684313852124489,0.1287633636169498,0.20177070935002894,0.3163833859792422,0.11127786227042268,0.1411314954499335,0.099105468680687,0.31001091485455495,0.3629846707405651,1.0,0.3479360283472604,0.41319347703484116,0.30698896324492725,0.44659681849432464,0.3066905188204939,0.20191244707692746,0.2340879052421811,0.23851886941623426,0.0726465828097611,0.11251142890084334,0.1838311272590409,0.38121677331940457,0.30382922623842873,0.32722725351908205,0.29552093699163995,0.26850257448418247,0.3123358627217534,0.21181956650858352,0.37626397290528635
CAT,0.34498748099709786,0.28235811690335005,0.29914133117436353,0.31309319873932456,0.3551783337670982,0.24527813366171772,0.3010178315499944,0.4284160733533776,0.5073542090056773,0.3388184003382356,0.36179264963827407,0.5070121197862758,0.48682364367337755,0.5740227636388737,0.10176810961235068,0.08643202973350178,0.20887309865708906,0.16216720473725688,0.31850729149733215,0.13127662599781711,0.13786376731513786,0.16255369961029456,0.3629625735619101,0.051301464701051604,0.08602292403531443,0.11225646708069151,0.228963965237332,0.33981469062491027,0.3479360283472604,1.0,0.48158225926426756,0.41089804982021516,0.4713547516130735,0.43910064947697247,0.41738416819192964,0.4559039940931012,0.4342205953186092,0.12586019903708948,0.1080597888557567,0.10829540312523972,0.3706734324158133,0.18310569956244235,0.3238087399638985,0.3707605286988531,0.21489340514788796,0.2619180478301319,0.3025703017078042,0.38361790285271036
HON,0.43863275785482053,0.3572142736057126,0.3374586498150539,0.36605001004915705,0.303293319752926,0.3496422204029926,0.28357581510493185,0.5100279483661864,0.4762135564661983,0.4634342436846272,0.5100585632538606,0.4700114096214214,0.4380744469153623,0.4851505801698167,0.2669373439728676,0.1804927438305773,0.30678435800799536,0.170292453483154,0.40391855222622103,0.2542476139511458,0.21675488056129252,0.2841027899128897,0.4658224535019924,0.34529105646062414,0.33139616024819807,0.32796342662562394,0.3936985361088147,0.4382975473474323,0.41319347703484116,0.48158225926426756,1.0,0.405974131744828,0.43578786016765547,0.49349956196151584,0.28253640741222213,0.3057643653657567,0.3175320176843612,0.21240854208661844,0.22466829762357776,0.23251036108615344,0.4318583461816823,0.2635023348240594,0.3345116334334824,0.435190049386672,0.3512749571641253,0.3218077624946362,0.22179003342009046,0.33790659356475644
